#,Bathroom Scales,Price,Rating,Link,Top Review
1,Taylor Precision Products 7506 Chrome & Glass Lithiu  ...,$23.88,4.5/5.0,https://www.walmart.com/ip/Taylor-Precision-Products-7506-Chrome-Glass-Lithium-Digital-Scale/14311191,blank
2,Health o meter LED Split Mat Bath Scale (HDR743DQ-41  ...,$17.88,3.2/5.0,https://www.walmart.com/ip/Health-o-meter-LED-Split-Mat-Bath-Scale-HDR743DQ-41/10264542,blank
3,My Life My Shop Digital Scale and Body Analyzer,$48.44,5.0/5.0,https://www.walmart.com/ip/My-Life-My-Shop-Digital-Scale-and-Body-Analyzer/47701093?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=b218ee12bc5cf740a98e7a5b6452ecfa&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,blank
4,Zimtown 180kg/396lb Digital Bathroom Scale Toughened  ...,$10.99,4.3/5.0,https://www.walmart.com/ip/Zimtown-180kg-396lb-Digital-Bathroom-Scale-Toughened-Glass-Electronic-Weight-Scale-Black/946515386,blank
5,My Life My Shop Balance 2 Digital Body Scale,$29.99,0.0/5.0,https://www.walmart.com/ip/My-Life-My-Shop-Balance-2-Digital-Body-Scale/47701094,blank
6,Taylor 7413 Textured Stainless Steel Digital Scale,$14.89,3.3/5.0,https://www.walmart.com/ip/Taylor-7413-Textured-Stainless-Steel-Digital-Scale/39461235,blank
7,Taylor Precision Products 75624072 Glass Digital Sca  ...,$22.82,3.7/5.0,https://www.walmart.com/ip/Taylor-Precision-Products-75624072-Glass-Digital-Scale/22046340,blank
8,Excelvan Touch 440 lbs Total Body Bath Scale – Measu  ...,$24.95,4.3/5.0,https://www.walmart.com/ip/Excelvan-Touch-440-lbs-Total-Body-Bath-Scale-Measures-Weight-Fat-Muscle-Bone-Hydration-with-Auto-Recognition-and-Infant-Tare-Technology/33412350,blank
9,Taylor 7519 Ultra-Thick Digital Glass Bathroom Scale  ...,$37.73,4.4/5.0,https://www.walmart.com/ip/Taylor-7519-Ultra-Thick-Digital-Glass-Bathroom-Scale-with-Backlit-LCD-Display/11089592,blank
10,Ozeri Rev Digital Bathroom Scale with Electro-Mechan  ...,$23.99,4.3/5.0,https://www.walmart.com/ip/Ozeri-Rev-Digital-Bathroom-Scale-with-Electro-Mechanical-Weight-Dial/37417381,blank
11,Mechanical Personal Scale,$4.13,3.8/5.0,https://www.walmart.com/ip/Mechanical-Personal-Scale/48947430,blank
12,Taylor Precision Mechanical Analog Bath Scale,$8.79,5.0/5.0,https://www.walmart.com/ip/Taylor-Precision-Mechanical-Analog-Bath-Scale/16541957,blank
13,Health o meter Weight Tracking Digital Scale,$19.88,2.4/5.0,https://www.walmart.com/ip/Health-o-meter-Weight-Tracking-Digital-Scale/8245670,blank
